연번,구분,세부구분,시설명,시설명영문명,데이터기준일자
151,역사/전통,전통가옥/근대건축,전남대학교 인문대 1호관,"Hall 1, College of Liberal Arts, Chonnam National University",2025-09-22
152,공원,도시근린공원,양산호수공원,Yangsan Reservoir,2025-09-22
153,예술/문화,박물관,어린이생태학습도서관,Children Ecology Study Library,2025-09-22
154,역사/전통,5·18/광주학생운동,역사상징의 거리,Street of Historical Symbol,2025-09-22
155,공원,도시근린공원,평화공원,Pyeonghwa Park,2025-09-22
156,역사/전통,5·18/광주학생운동,광목간양민학살지(사적15호),Massacred Site of Innocent People between Gwangju and Mokpo (Historical Site No. 15),2025-09-22
157,역사/전통,5·18/광주학생운동,광주공원광장-시민군편성지(사적20호),Gwangju Park Plaza - Civilian Guard Organized Site(Historical Site No. 20),2025-09-22
158,역사/전통,5·18/광주학생운동,광주교도소(사적22호),Korea Correctional Service in Gwangju (Historical Site No. 22),2025-09-22
159,역사/전통,5·18/광주학생운동,광주기독병원(사적10호),Gwangju Christian Hospital(Historical Site No.10),2025-09-22
160,역사/전통,5·18/광주학생운동,광주역광장(사적2호),Gwangju Station Plaza(Historical Site No.2),2025-09-22
161,역사/전통,5·18/광주학생운동,광주학생독립운동기념탑,Gwangju Student Independence Movement Monument,2025-09-22
162,체험/스포츠,유원지,송산근린공원,Songsan Recreation Area,2025-09-22
163,공원,도시근린공원,쌍암공원,Ssangam Park,2025-09-22
164,공원,도시근린공원,금남로공원,Geumnam Park,2025-09-22
165,역사/전통,5·18/광주학생운동,금남로일대(사적4호),Geumnam-ro Area (May 18 Democratic Movement Historical Site No. 4),2025-09-22
166,역사/전통,5·18/광주학생운동,남동성당(사적25호),Nam-dong Catholic Church (Historical Site No. 25),2025-09-22
167,역사/전통,5·18/광주학생운동,녹두서점옛터(사적8호),Old Site of Nokdu Book Store (Historical Site No. 8),2025-09-22
168,예술/문화,문화유산,고운묘 출토유물,Go Un’s Cemetary Relics (excabated) ,2025-09-22
169,예술/문화,문화유산,김덕령장군 의복,General Kim Deok Ryeong's Garments ,2025-09-22
170,예술/문화,문화유산,장흥임씨묘 출토복식,Dressing excabated from Jangheung Lim Clan cemetary,2025-09-22
171,역사/전통,사찰/기독교,무각사,Mugaksa Temple ,2025-09-22
172,자연,자연,백마산,Baekmasan Mountain,2025-09-22
173,자연,자연,백석산,Baekseoksan Mountain,2025-09-22
174,예술/문화,문화유산,광주약사암 석조여래좌상,Gwangju Yaksaam Seokjoyeoraejwasang(seated stone Buddha statue),2025-09-22
175,예술/문화,문화유산,원효사 출토유물,Wonhyosa Temple Relics (excavated) ,2025-09-22
176,자연,자연,복룡산,Bokryongsan Mountain,2025-09-22
177,예술/문화,문화유산,증심사 철조비로자나불좌상,Jeungsimsa Cheoljobirosanabuljwasang(Ironed Buddhist Statue),2025-09-22
178,예술/문화,문화유산,광주 신창동유적,"The Historic Site of Sinchang-dong, Gwangju",2025-09-22
179,예술/문화,문화유산,광주 충효동 도요지,Chunghyo-dong Pottery Kiln Site,2025-09-22
180,예술/문화,문화유산,노인 금계일기,Geumgye-ilgi(diary written by Noh In) ,2025-09-22
181,예술/문화,문화유산,정지장군 환삼,General Jeong Ji’s Armor,2025-09-22
182,체험/스포츠,스포츠/기타,빛고을청소년수련원,Bitgoeul Youth Training Center,2025-09-22
183,거리,이색거리,뽕뽕거리,Ppongppong Street,2025-09-22
184,체험/스포츠,스포츠/기타,서구국민체육센터,Seo-gu National Athletic Center,2025-09-22
185,체험/스포츠,스포츠/기타,빛고을 노인건강타운,Bitgoeul Silver Town,2025-09-22
186,역사/전통,5·18/광주학생운동,구 시외버스공용터미널일대(사적3호),Area of Former Gwangju Bus Terminal (Historical Site No. 3),2025-09-22
187,역사/전통,5·18/광주학생운동,구 전남도청(사적5-1호),Main Building of Former Jeollanam-do Government Office ,2025-09-22
188,역사/전통,5·18/광주학생운동,국립 5·18민주묘지,National 5.18 Democratic Cemetery,2025-09-22
189,역사/전통,5·18/광주학생운동,군사법정,Military Court,2025-09-22
190,역사/전통,5·18/광주학생운동,농성광장격전지(사적16호),Nongseong Plaza Ferocious Battlefield (Historical Site No. 16) ,2025-09-22
191,역사/전통,5·18/광주학생운동,5·18민주광장(사적5-2호),May 18 Democratic Plaza (Historical Site No. 5-2),2025-09-22
192,역사/전통,5·18/광주학생운동,5·18최초발포지-광주고교앞(사적21호),May 18 First Shooting Site - Front of Gwangju high school (Historical Site No. 21),2025-09-22
193,역사/전통,5·18/광주학생운동,505보안부대옛터(사적26호),Old Site of 505 Security Unit (Historical Site No. 26),2025-09-22
194,공원,도시근린공원,광주공원,Gwangju Park,2025-09-22
195,자연,자연,광주천,Gwangju Stream,2025-09-22
196,체험/스포츠,공연장,서구문화센터,Seo-gu Culture Center,2025-09-22
197,체험/스포츠,스포츠/기타,염주체육관,Yeomju Gymnasium ,2025-09-22
198,체험/스포츠,유원지,우치공원,Uchi Park,2025-09-22
199,공원,도시근린공원,운천호수,Uncheon Reservoir,2025-09-22
200,공원,도시근린공원,청풍쉼터,Cheongpungswimteo (park),2025-09-22
201,공원,도시근린공원,푸른길공원,Pureun-gil Park,2025-09-22
202,공원,도시근린공원,풍암생활체육공원,Pungam Athletic Park,2025-09-22
203,역사/전통,사찰/기독교,원각사,Wongaksa Temple,2025-09-22
204,역사/전통,사찰/기독교,원효사,Wonhyosa Temple,2025-09-22
205,자연,자연,짚봉산,Jipbongsan Mountain,2025-09-22
206,역사/전통,5·18/광주학생운동,5·18구묘지(사적24호),May 18 Old Cemetery (Historical Site No. 24),2025-09-22
207,역사/전통,5·18/광주학생운동,5·18기념공원,5.18 Memorial Park,2025-09-22
208,역사/전통,5·18/광주학생운동,5·18자유공원,5.18 Liberty Park,2025-09-22
209,예술/문화,박물관,광주교육대학교 교육박물관,Gwangju National University of Education Museum,2025-09-22
210,예술/문화,미술관,광주시립미술관,Gwangju Museum of Art ,2025-09-22
211,예술/문화,미술관,무등갤러리,Mudeung Gallery,2025-09-22
212,체험/스포츠,공연장,광주예술의전당,Gwangju Culture & Art Center,2025-09-22
213,공원,도시근린공원,풍암호수,Pungam Reservoir,2025-09-22
214,쇼핑,전통시장,남광주시장,Namgwangju Market,2025-09-22
215,예술/문화,전통문화,월봉서원 체험,Wolbongseowon Confucian Academy,2025-09-22
216,예술/문화,박물관,광주역사민속박물관,Gwangju Folk Museum,2025-09-22
217,체험/스포츠,공연장,궁동예술극장,Gungdong Art Theatre,2025-09-22
218,예술/문화,박물관,국립광주박물관,Gwangju National Museum,2025-09-22
219,예술/문화,박물관,전남대학교 박물관,Chonnam National University Museum ,2025-09-22
220,예술/문화,미술관,우제길 미술관,U Jegil Art Gallery(Studio),2025-09-22
221,예술/문화,미술관,의재미술관,Uijae Art Gallery,2025-09-22
222,예술/문화,미술관,하정웅미술관,Gwangju Museum of Art Annex Ha Jeong-ung,2025-09-22
223,예술/문화,미술관,자미갤러리,Jami Gallery,2025-09-22
224,예술/문화,미술관,일곡갤러리,Ilgok Gallery,2025-09-22
