연번,구분,세부구분,시설명,시설명영문명,데이터기준일자,주소,위도,경도,지오코딩상태,재시도방법
14,예술/문화,문화유산,광양 중흥산성 쌍사자 석등,Jungheung-sanseong Ssangsaja-seokdeung* (sanseong-mountain fortress;  Ssangsajaseokdeung-a pair of lion-shaped stone lan,2025-09-22,,,,not_found,
15,역사/전통,5·18/광주학생운동,광주학생독립운동발상지(광주일고),Gwangju Student Independence Movement Birthplace(Gwangju Jeil High School),2025-09-22,,,,not_found,
16,역사/전통,전통가옥/근대건축,"광주 서석초등학교 (본관, 체육관, 별관)","Gwangju Seoseok Elementary School (Main Building, Gymnasium, Separate Building)",2025-09-22,광주 동구 서석동 14-1,35.1473066148214,126.924086092036,success,korean_cleaned
17,역사/전통,전통가옥/근대건축,광주 수창초등학교본관,Main Building of Gwangju Suchang Elementary School,2025-09-22,광주 동구 대인동 7-1,35.1545581319833,126.91218355986,success,
18,예술/문화,문화유산,고씨 삼강문,Go Clan Samgang Gate,2025-09-22,광주 남구 압촌동 산 14,35.0918391779437,126.838383256348,success,
19,예술/문화,문화유산,금곡동 제철유적,Geumgok-dong Iron Making Relics,2025-09-22,광주 북구 금곡동 산 2,35.1383203259804,126.996453584917,success,
20,예술/문화,문화유산,정지장군 예장석묘,General Jeong Ji’s Yejangseokmyo(picture-inscribed stone tomb),2025-09-22,광주 북구 망월동 산 176,35.2011842947758,126.947860944973,success,
21,예술/문화,문화유산,무진고성지,Hoetteuneun Maeul,2025-09-22,광주 북구 두암동 산 152-5,35.159639480442785,126.94493501064024,success,
22,예술/문화,선비문화,월봉서원(빙월당),Wolbong Seowon-Confucian School(Bingwoldang),2025-09-22,광주 광산구 광산동 452,35.2356936425565,126.744916095926,success,
23,예술/문화,문화유산,덕림사 지장보살상과 시왕상 및 그 권속,"Deongnimsa Jijangbosalsang, Siwangsang & Attached Statues (Buddhist statues)",2025-09-22,,,,not_found,
24,예술/문화,문화유산,전라남도 회의실 신축설계도,Jeollanam-do Conference Hall New Construction Blueprint,2025-09-22,,,,not_found,
25,역사/전통,사찰/기독교,광주 북동천주교회,Gwangju Buk-dong Catholic Church,2025-09-22,광주 북구 북동 33,35.15591480358,126.911118607429,success,
26,맛집,한식,금수저은수저,Geumsujeo Eunsujeo,2025-09-22,광주 광산구 신창동 1152-4,35.1982517771453,126.842305951058,success,
27,맛집,한식,옥천면옥,Okcheon Myeonok,2025-09-22,경기 양평군 옥천면 옥천리 740-8,37.51805068009672,127.45549770638442,success,
28,맛집,한식,마한지,Mahanji,2025-09-22,광주 동구 광산동 69,35.14597088831398,126.91866954650814,success,
29,예술/문화,문화유산,전남도청 본관,Main Building of Former Jeollanam-do Government Office,2025-09-22,전남 무안군 삼향읍 남악리 1000,34.8160821479338,126.462788333373,success,korean_cleaned
30,역사/전통,전통가옥/근대건축,조선대학교 본관,Chosun University Main Building  ,2025-09-22,광주 동구 서석동 375,35.1428961032832,126.934655405933,success,
31,예술/문화,문화유산,충효동 정려비각,Chunghyo-dong Jeongryeobigak(a filial woman’s piety monument house),2025-09-22,광주 북구 충효동 440,35.1847403812907,127.001242829015,success,
32,예술/문화,문화유산,칠석동 은행나무,Chilseok-dong Ginkgo Tree,2025-09-22,광주 남구 칠석동 120,35.0688275747453,126.837319125698,success,
33,역사/전통,전통가옥/근대건축,허백련과 춘설헌,Heo Baekryeon Chunseolheon(tea field) ,2025-09-22,광주 동구 운림동 산 151,35.127424642161095,126.9667589822266,success,
34,역사/전통,전통가옥/근대건축,장덕동 근대한옥,"House at 527, Jangdeok-dong, Gwangju Metropolitan City",2025-09-22,광주 광산구 장덕동 1291-1,35.1912204033758,126.816156608703,success,
35,역사/전통,사찰/기독교,광주 구 수피아여학교 수피아홀,Speer Hall in Gwangju Old Speer Girls’ School,2025-09-22,광주 남구 양림동 251,35.1378652326102,126.9101506819,success,
36,역사/전통,사찰/기독교,광주 구 수피아여학교 윈스브로우홀,Winsborough Hall in Gwangju Old Speer Girls’ School,2025-09-22,광주 남구 양림동 242,35.1360763979804,126.909437239385,success,
37,예술/문화,문화유산,가야금 병창,Gayageum Byeongchang(Song to the Gayageum-Korean zither- play),2025-09-22,세종특별자치시 어진동 593,36.4985207965756,127.263835644462,success,
38,예술/문화,문화유산,무등산 주상절리대,Mt. Mudeung Jusangjeollidae(pillar-shaped joint cliff) ,2025-09-22,광주 동구 용연동 산 354-1,35.1188139313093,127.00226534687248,success,
39,역사/전통,5·18/광주학생운동,광주학생독립운동발상지(전남여고),Gwangju Student Independence Movement Birthplace(Chonnam Girls’ High School),2025-09-22,,,,not_found,
40,예술/문화,선비문화,포충사,Pochungsa Shrine,2025-09-22,경남 거창군 웅양면 노현리 187,35.8053441455939,127.917195420524,success,
41,역사/전통,사찰/기독교,광주 구 수피아여학교 커티스메모리얼홀,Curtis Memorial Hall in Gwangju Old Speer Girls’ School ,2025-09-22,,,,not_found,
42,예술/문화,문화유산,광주 십신사지 석비,Gwangju Sipshinsa(temple) Stone Monument ,2025-09-22,광주 북구 용봉동 1004-4,35.1832829609631,126.888511907528,success,
43,예술/문화,문화유산,광주 재명석등,Gwangju Jaemyeongseokdeung (stone lamp),2025-09-22,광주 동구 광산동 113,35.14785730421151,126.9198221445393,success,
44,예술/문화,문화유산,제봉문집 목판,A Collection of Go Gyeongmyeong (pen name Jebong)´s Works (block-book),2025-09-22,,,,not_found,
45,자연,자연,금봉산(송정공원),Geumbongsan Mountain,2025-09-22,대구 달서구 두류동 산 310-16,35.847724559289276,128.55675168356132,success,korean_cleaned
46,예술/문화,문화유산,증심사 삼층석탑,Jeungsimsa 3 Story Stone Pagoda,2025-09-22,광주 동구 운림동 56,35.1288271351465,126.97010473351,success,
47,예술/문화,문화유산,증심사 석조보살입상,Jeungsimsa Temple Seokjobosalipsang(standing stone Buddhist statue),2025-09-22,,,,not_found,
48,예술/문화,문화유산,증심사 오백전,Jeungsimsa(temple) Obackjeon Hall,2025-09-22,광주 동구 운림동 56,35.1289029133262,126.970363634517,success,
49,예술/문화,문화유산,광주 지산동 오층석탑,Gwangju Jisan-dong 5-Story Stone Pagoda,2025-09-22,광주 동구 지산동 448-4,35.1488983035786,126.933065928453,success,
